first,last,birth,N
A,G,1960,261
A,G,1961,231
A,G,1962,223
A,G,1963,168
A,G,1964,166
A,G,1965,132
A,G,1966,121
A,G,1967,95
A,G,1968,98
A,G,1969,84
A,G,1970,79
A,G,1971,57
A,G,1972,51
A,G,1973,47
A,G,1974,55
A,G,1975,39
A,G,1976,49
A,G,1977,46
A,G,1978,25
A,G,1979,34
A,G,1980,32
A,G,1981,27
A,G,1982,21
A,G,1983,23
A,G,1984,27
A,G,1985,15
A,G,1986,24
A,G,1987,11
A,G,1988,18
A,G,1989,17
A,G,1990,11
A,G,1991,9
A,G,1992,13
A,G,1993,9
A,G,1994,7
A,G,1995,9
A,G,1996,10
A,G,1997,10
A,G,1998,8
A,G,1999,10
A,G,2000,13
A,G,2001,11
A,G,2002,12
A,G,2003,13
A,G,2004,9
A,G,2005,6
A,G,2006,5
A,G,2007,5
A,G,2008,9
A,G,2009,4
A,G,2010,4
A,G,2011,1
A,H,1800,0
A,H,1801,0
A,H,1802,0
A,H,1803,0
A,H,1804,0
A,H,1805,0
A,H,1806,0
A,H,1807,0
A,H,1808,1
A,H,1809,0
A,H,1810,0
A,H,1811,0
A,H,1812,0
A,H,1813,0
A,H,1814,1
A,H,1815,0
A,H,1816,0
A,H,1817,0
A,H,1818,0
A,H,1819,0
A,H,1820,0
A,H,1821,0
A,H,1822,0
A,H,1823,0
